Kreis	Einw.	Fl. in km²
LK Märkisch-Oderland	195751	2158,67
LK Mayen-Koblenz	214434	817,25
LK Mecklenburgische Seenplatte	258074	5470,35
LK Meißen	241717	1454,59
LK Merzig-Wadern	103243	555,17
LK Mettmann	485570	407,22
LK Miesbach	100010	866,23
LK Miltenberg	128743	715,86
LK Minden-Lübbecke	310409	1152,41
LK Mittelsachsen	304099	2116,85
LK Mühldorf a.Inn	115872	805,31
LK München	350473	664,25
LK Neckar-Odenwald-Kreis	143535	1126,24
LK Neu-Ulm	175204	515,86
LK Neuburg-Schrobenhausen	97303	739,81
LK Neumarkt i.d.OPf.	134573	1344,11
LK Neunkirchen	131408	249,24
LK Neustadt a.d.Aisch-Bad Windsheim	101014	1267,56
LK Neustadt a.d.Waldnaab	94450	1427,67
LK Neuwied	182811	626,9
LK Nienburg (Weser)	121390	1398,97
LK Nordfriesland	165951	2082,96
LK Nordhausen	83416	713,9
LK Nordsachsen	197741	2028,56
LK Nordwestmecklenburg	157322	2118,51
LK Northeim	132285	1267,08
LK Nürnberger Land	170792	799,57
LK Oberallgäu	156008	1528
LK Oberbergischer Kreis	272057	918,84
LK Oberhavel	212914	1808,18
LK Oberspreewald-Lausitz	109371	1223,08
LK Odenwaldkreis	96703	623,98
LK Oder-Spree	178803	2256,78
LK Offenbach	355813	356,3
LK Oldenburg	130890	1063,16
LK Olpe	133955	712,14
LK Ortenaukreis	429479	1860,81
LK Osnabrück	358080	2121,63
LK Ostalbkreis	314002	1511,54
LK Ostallgäu	141182	1394,91
LK Osterholz	113928	650,81
LK Ostholstein	200539	1392,55
LK Ostprignitz-Ruppin	98861	2526,55
LK Paderborn	307839	1246,8
LK Passau	192656	1530,29
LK Peine	134801	534,97
LK Pfaffenhofen a.d.Ilm	128227	761,14
LK Pinneberg	316103	664,28
LK Plön	128686	1083,17
LK Potsdam-Mittelmark	216566	2591,61
LK Prignitz	76158	2138,61
LK Rastatt	231018	738,75
LK Ravensburg	284285	1631,86
LK Recklinghausen	614137	761,31
LK Regen	77410	974,92
LK Regensburg	194070	1391,9
LK Rems-Murr-Kreis	426158	858,13
LK Rendsburg-Eckernförde	274098	2189,17
LK Reutlingen	286748	1092,74
LK Rhein-Erft-Kreis	470615	704,71
LK Rheingau-Taunus-Kreis	187160	811,48
LK Rhein-Hunsrück-Kreis	103163	991,12
LK Rheinisch-Bergischer Kreis	283271	437,32
LK Rhein-Kreis Neuss	451730	576,52
LK Rhein-Lahn-Kreis	122297	782,29
LK Rhein-Neckar-Kreis	547625	1061,7
LK Rhein-Pfalz-Kreis	154609	304,92
LK Rhein-Sieg-Kreis	600764	1153,21
LK Rhön-Grabfeld	79635	1021,77
LK Rosenheim	261330	1439,54
LK Rostock	215794	3422,51
LK Rotenburg (Wümme)	163782	2070,45
LK Roth	126749	895,39
LK Rottal-Inn	121502	1281,42
LK Rottweil	139455	769,4
LK Saale-Holzland-Kreis	82950	815,24
LK Saalekreis	183815	1433,67
LK Saale-Orla-Kreis	80312	1151,3
LK Saalfeld-Rudolstadt	103199	1036,03
LK Stadtverband Saarbrücken	328714	410,64
LK Saarlouis	194319	459,05
LK Saarpfalz-Kreis	142196	418,4
LK Sächsische Schweiz-Osterzgebirge	245586	1654,19
LK Salzlandkreis	189125	1426,76
LK Schaumburg	157820	675,57
LK Schleswig-Flensburg	201156	2071,14
LK Schmalkalden-Meiningen	124916	1251,2
LK Schwalm-Eder-Kreis	179673	1538,51
LK Schwandorf	147872	1464,97
LK Schwarzwald-Baar-Kreis	212381	1025,27
LK Schwäbisch Hall	195861	1483,97
LK Schweinfurt	115445	841,46
LK Segeberg	277175	1344,39
LK Siegen-Wittgenstein	276944	1132,89
LK Sigmaringen	130873	1204,34
LK Soest	301785	1328,63
LK Sömmerda	69427	806,86
LK Sonneberg	57717	433,61
LK Spree-Neiße	113720	1657,45
LK Sankt Wendel	87007	476,22
LK Stade	204512	1266,02
LK Starnberg	136667	487,71
LK Steinburg	131013	1056,13
LK Steinfurt	448220	1795,76
LK Stendal	111190	2423,16
LK Stormarn	244156	766,33
LK Straubing-Bogen	101120	1201,94
LK Südliche Weinstraße	110521	639,83
LK Südwestpfalz	94831	953,65
LK Teltow-Fläming	169997	2104,19
LK Tirschenreuth	72046	1084,23
LK Traunstein	177319	1534
LK Trier-Saarburg	149398	1101,49
LK Tübingen	227331	519,2
LK Tuttlingen	140152	734,35
LK Uckermark	118947	3076,93
LK Uelzen	92389	1454,22
LK Unna	394891	543,21
LK Unstrut-Hainich-Kreis	102232	979,69
LK Unterallgäu	145341	1230,06
LK Vechta	142814	812,63
LK Verden	137133	787,97
LK Viersen	298863	563,28
LK Vogelsbergkreis	105643	1458,99
LK Vogtlandkreis	225997	1412,42
LK Vorpommern-Greifswald	235623	3929,73
LK Vorpommern-Rügen	224702	3207,37
LK Vulkaneifel	60646	911,02
LK Waldeck-Frankenberg	156406	1848,44
LK Waldshut	170619	1131,15
LK Warendorf	277840	1319,41
LK Wartburgkreis	118974	1267,26
LK Weilheim-Schongau	135478	966,37
LK Weimarer Land	82156	804,48
LK Weißenburg-Gunzenhausen	94734	970,91
LK Werra-Meißner-Kreis	100629	1024,7
LK Wesel	459976	1042,8
LK Wesermarsch	88583	822,01
LK Westerwaldkreis	201904	988,95
LK Wetteraukreis	308339	1100,69
LK Wittenberg	124953	1930,31
LK Wittmund	56926	656,64
LK Wolfenbüttel	119622	722,56
LK Wunsiedel i.Fichtelgebirge	72655	606,43
LK Würzburg	162302	968,4
LK Zollernalbkreis	188935	917,72
LK Zwickau	315002	949,78
SK Aachen	248960	160,85
SK Amberg	42207	50,14
SK Ansbach	41798	99,91
SK Aschaffenburg	71002	62,47
SK Augsburg	296582	146,84
SK Baden-Baden	55123	140,21
SK Bamberg	77373	54,62
SK Bayreuth	74783	66,93
SK Berlin	3669491	891,69
SK Bielefeld	334195	258,82
SK Bochum	365587	145,66
SK Bonn	329673	141,06
SK Bottrop	117565	100,61
SK Brandenburg a.d.Havel	72184	229,71
SK Braunschweig	249406	192,18
SK Bremen	567559	325,56
SK Bremerhaven	113643	93,82
SK Chemnitz	246334	221,05
SK Coburg	41072	48,29
SK Cottbus	99678	165,15
SK Darmstadt	159878	122,09
SK Delmenhorst	77559	62,36
SK Dessau-Roßlau	80103	244,74
SK Dortmund	588250	280,71
SK Dresden	556780	328,48
SK Duisburg	498686	232,8
SK Düsseldorf	621877	217,41
SK Eisenach	42250	104,17
SK Emden	49913	112,36
SK Erfurt	213981	269,91
SK Erlangen	112528	76,95
SK Essen	582760	210,34
SK Flensburg	90164	56,74
SK Frankenthal	48762	43,76
SK Frankfurt (Oder)	57751	147,85
SK Frankfurt am Main	763380	248,31
SK Freiburg i.Breisgau	230241	153,06
SK Fürth	128497	63,35
SK Gelsenkirchen	259645	104,94
SK Gera	93125	152,18
SK Göttingen[2]	118911	116,89
SK Hagen	188686	160,45
SK Halle	238762	135,02
SK Hamburg	1841179	755,22
SK Hamm	179916	226,43
SK Hannover	536925	204,14
SK Heidelberg	160355	108,84
SK Heilbronn	125960	99,88
SK Herne	156449	51,42
SK Hof	45825	58,03
SK Ingolstadt	137392	133,37
SK Jena	111343	114,77
SK Kaiserslautern	100030	139,74
SK Karlsruhe	313092	173,46
SK Kassel	202137	106,78
SK Kaufbeuren	44398	40,03
SK Kempten	69151	63,28
SK Kiel	246794	118,65
SK Koblenz	114052	105,13
SK Köln	1087863	405,02
SK Krefeld	227417	137,77
SK Landau i.d.Pfalz	46881	82,96
SK Landshut	73411	65,81
SK Leipzig	593145	297,8
SK Leverkusen	163729	78,87
SK Lübeck	216530	214,21
SK Ludwigshafen	172253	77,55
SK Magdeburg	237565	201
SK Mainz	218578	97,74
SK Mannheim	309370	144,96
SK Memmingen	44100	70,14
SK Mönchengladbach	261034	170,47
SK Mülheim a.d.Ruhr	170632	91,28
SK München	1484226	310,7
SK Münster	315293	303,28
SK Neumünster	80196	71,63
SK Neustadt a.d.Weinstraße	53264	117,1
SK Nürnberg	518370	186,38
SK Oberhausen	210764	77,09
SK Offenbach	130280	44,89
SK Oldenburg	169077	102,99
SK Osnabrück	165251	119,8
SK Passau	52803	69,57
SK Pforzheim	125542	98
SK Pirmasens	40231	61,37
SK Potsdam	180334	188,61
SK Regensburg	153094	80,7
SK Remscheid	111338	74,52
SK Rosenheim	63551	37,22
SK Rostock	209191	181,26
SK Salzgitter	104291	223,92
SK Schwabach	40981	40,82
SK Schweinfurt	53426	35,7
SK Schwerin	95653	130,52
SK Solingen	159245	89,54
SK Speyer	50561	42,6
SK Straubing	47791	67,58
SK Stuttgart	634830	207,35
SK Suhl	36789	141,62
SK Trier	111528	117,13
SK Ulm	126329	118,69
SK Weiden i.d.OPf.	42743	70,55
SK Weimar	65228	84,48
SK Wiesbaden	278474	203,93
SK Wilhelmshaven	76089	106,95
SK Wolfsburg	124371	204,09
SK Worms	83542	108,73
SK Wuppertal	355100	168,39
SK Würzburg	127934	87,63
SK Zweibrücken	34193	70,64
SK Berlin Mitte	384172	39,47
SK Berlin Friedrichshain-Kreuzberg	289762	20,16
SK Berlin Pankow	407765	103,01
SK Berlin Charlottenburg-Wilmersdorf	342332	64,72
SK Berlin Spandau	243977	91,91
SK Berlin Steglitz-Zehlendorf	308697	102,5
SK Berlin Tempelhof-Schöneberg	351644	53,09
SK Berlin Neukölln	329691	44,93
SK Berlin Treptow-Köpenick	271153	168,42
SK Berlin Marzahn-Hellersdorf	268548	61,74
SK Berlin Lichtenberg	291452	52,29
SK Berlin Reinickendorf	265225	89,46
